x,y,z
2.52756,2.88918,-0.756208
2.55108,2.88022,-0.758035
2.57917,2.87617,-0.761282
2.87259,2.86778,-0.801874
2.90269,2.86247,-0.805527
2.93072,2.85486,-0.808571
2.13147,2.9061,-0.754052
2.14344,2.88513,-0.751901
2.15465,2.86334,-0.749535
2.16448,2.83996,-0.746739
2.22004,2.87612,-0.760504
2.34041,2.88296,-0.77814
2.36798,2.88062,-0.781582
2.39497,2.8773,-0.784808
2.4195,2.87076,-0.787174
2.44531,2.86552,-0.78997
2.47498,2.86451,-0.794056
2.70346,2.87008,-0.828683
2.73046,2.86333,-0.831694
2.76086,2.85988,-0.835781
2.94093,2.83016,-0.859224
2.98018,2.83292,-0.865891
3.00889,2.82528,-0.869333
1.82807,2.92219,-0.759735
1.85066,2.91833,-0.761768
1.86695,2.90446,-0.761091
1.89431,2.90764,-0.765158
1.92017,2.90815,-0.768548
1.94448,2.90603,-0.771259
2.03149,2.88052,-0.777812
2.05706,2.8791,-0.780976
2.08326,2.87826,-0.784366
2.11125,2.87956,-0.788433
2.13701,2.8775,-0.791597
2.16224,2.87445,-0.794534
2.18869,2.87275,-0.797924
2.21342,2.86852,-0.800636
2.32244,2.86174,-0.815098
2.34985,2.85948,-0.818713
2.37608,2.85549,-0.821877
2.40297,2.85203,-0.825266
2.42738,2.84538,-0.827752
2.45435,2.84149,-0.831142
2.73057,2.82925,-0.872268
2.73835,2.80269,-0.869105
2.77057,2.80107,-0.874076
0.994867,3.1311,-0.764488
1.01496,3.1277,-0.765201
2.01659,2.85829,-0.816578
2.04256,2.85772,-0.820146
2.06803,2.85615,-0.823476
2.09298,2.85359,-0.826568
2.12261,2.85707,-0.831563
2.14652,2.85253,-0.834179
2.17516,2.85399,-0.838698
2.23334,2.85693,-0.847975
2.26108,2.85612,-0.852018
2.28828,2.85432,-0.855824
2.56296,2.78864,-0.887459
2.57605,2.76859,-0.886032
1.37189,2.89713,-0.782804
1.41244,2.89052,-0.785788
1.42972,2.88093,-0.78554
1.45086,2.87902,-0.787529
1.47644,2.88559,-0.792006
1.49412,2.87647,-0.792006
1.51581,2.87496,-0.794244
1.53799,2.87415,-0.796731
1.56068,2.87402,-0.799466
1.58437,2.87541,-0.802699
1.60812,2.87663,-0.805932
1.63196,2.87766,-0.809165
1.93923,2.86113,-0.847215
1.96168,2.85637,-0.849453
1.98304,2.84984,-0.851194
2.25023,2.8444,-0.890984
2.26401,2.82601,-0.889492
0.901643,2.89537,-0.776107
0.928749,2.91923,-0.784427
0.94724,2.91532,-0.784947
1.05689,2.88664,-0.787287
1.07728,2.88734,-0.789367
1.09772,2.8879,-0.791447
1.11541,2.88111,-0.791447
1.40007,2.85979,-0.816927
1.4206,2.8572,-0.818747
1.4455,2.86308,-0.823167
1.46568,2.85932,-0.824727
1.48854,2.86055,-0.827847
1.50922,2.85734,-0.829667
1.52991,2.85398,-0.831487
1.55247,2.85388,-0.834347
1.57695,2.85698,-0.838247
1.60199,2.86073,-0.842407
1.62571,2.86177,-0.845787
1.64806,2.86011,-0.848387
1.6685,2.85494,-0.849947
1.68943,2.85047,-0.851767
1.93205,2.84619,-0.885827
1.9544,2.84144,-0.888167
1.97456,2.83336,-0.889467
0.931951,2.75829,-0.778849
0.958702,2.72667,-0.772889
1.16151,2.84837,-0.82518
1.1797,2.84296,-0.825721
1.199,2.8401,-0.827076
1.21944,2.83977,-0.829244
1.24185,2.8437,-0.832766
1.26319,2.84483,-0.835475
1.65302,2.83207,-0.882347
1.67478,2.82933,-0.884786
1.69805,2.82891,-0.888037
