x,y,z,cluster
1.48519,2.85928,-0.787032,22
1.50587,2.85611,-0.788773,22
1.52976,2.85877,-0.792254,22
1.55513,2.8638,-0.796482,22
1.57829,2.86439,-0.799466,22
1.60292,2.86733,-0.803197,22
1.62622,2.86755,-0.806181,22
1.64765,2.86423,-0.80817,22
1.93705,2.85793,-0.84622,22
1.96004,2.85397,-0.848707,22
1.98083,2.84666,-0.850199,22
2.43787,2.72054,-0.897699,22
1.06319,2.90387,-0.792227,22
1.08132,2.8982,-0.792487,22
1.09806,2.8888,-0.791707,22
1.11646,2.88381,-0.792227,22
1.13201,2.87151,-0.790667,22
1.15033,2.8663,-0.791187,22
1.16935,2.86277,-0.792227,22
1.52855,2.85143,-0.830707,22
1.55155,2.85218,-0.833827,22
1.57415,2.85191,-0.836687,22
1.59728,2.85231,-0.839807,22
1.61904,2.85001,-0.842147,22
1.64276,2.8509,-0.845527,22
1.93042,2.84379,-0.885047,22
1.95057,2.83587,-0.886347,22
1.97069,2.82781,-0.887647,22
1.22248,2.84685,-0.831411,22
1.2434,2.84723,-0.83385,22
1.26436,2.84746,-0.836288,22
1.28656,2.85018,-0.839539,22
1.30764,2.85011,-0.841978,22
1.32876,2.84988,-0.844416,22
1.34829,2.84602,-0.845771,22
1.36948,2.8455,-0.848209,22
1.5898,2.8427,-0.876116,22
1.61101,2.83959,-0.878283,22
1.63369,2.83883,-0.881263,22
0.886177,2.8439,-0.834194,22
0.9039,2.83932,-0.834476,22
1.24382,2.8423,-0.870551,22
1.26591,2.84514,-0.873933,22
1.28571,2.84256,-0.875624,22
1.30513,2.83898,-0.877033,22
1.32456,2.83526,-0.878443,22
1.34398,2.83142,-0.879852,22
1.36425,2.82917,-0.881825,22
1.30679,2.8015,-0.904681,22
1.32805,2.80207,-0.907606,22
0.883246,2.83448,-0.904016,22
0.900044,2.82719,-0.903409,22
0.916491,2.8189,-0.902499,22
0.935569,2.81865,-0.904319,22
0.952847,2.81285,-0.904319,22
1.14404,2.75098,-0.907353,22
0.974491,-1.6298,-0.632146,400
0.900356,-1.52695,-0.587327,400
0.890496,-1.53163,-0.586993,400
0.877802,-1.53135,-0.584652,400
0.898977,-1.59086,-0.606726,400
